"date","cumulative_cases"
2020-10-14,235
2020-10-15,239
2020-10-16,245
2020-10-17,251
2020-10-18,256
2020-10-19,259
2020-10-20,266
2020-10-21,280
2020-10-22,289
2020-10-23,293
2020-10-24,298
2020-10-25,300
2020-10-26,310
2020-10-27,314
2020-10-28,318
2020-10-29,321
2020-10-30,329
2020-10-31,332
2020-11-01,334
2020-11-02,340
2020-11-03,344
2020-11-04,350
2020-11-05,358
2020-11-06,368
2020-11-07,373
2020-11-08,382
2020-11-09,391
2020-11-10,399
2020-11-11,403
2020-11-12,412
2020-11-13,423
2020-11-14,428
2020-11-15,440
2020-11-16,404
2020-11-17,413
2020-11-18,419
2020-11-19,426
2020-11-20,430
2020-11-21,436
2020-11-22,441
2020-11-23,449
2020-11-24,451
2020-11-25,453
2020-11-26,457
2020-11-27,460
2020-11-28,462
2020-11-29,467
2020-11-30,468
2020-12-01,479
2020-12-02,484
2020-12-03,490
2020-12-04,494
2020-12-05,498
2020-12-06,506
2020-12-07,509
2020-12-08,515
2020-12-09,524
2020-12-10,531
2020-12-11,543
2020-12-12,552
2020-12-13,555
2020-12-14,566
2020-12-15,571
2020-12-16,579
2020-12-17,584
2020-12-18,587
2020-12-19,593
2020-12-20,595
2020-12-21,598
2020-12-22,608
2020-12-23,619
2020-12-24,631
2020-12-25,643
2020-12-26,656
2020-12-27,667
2020-12-28,678
2020-12-29,697
2020-12-30,704
2020-12-31,717
2021-01-01,731
2021-01-02,753
2021-01-03,764
2021-01-04,794
2021-01-05,811
2021-01-06,818
2021-01-07,830
2021-01-08,849
2021-01-09,877
2021-01-10,894
2021-01-11,902
2021-01-12,915
2021-01-13,930
2021-01-14,946
2021-01-15,961
2021-01-16,970
2021-01-17,984
2021-01-18,994
2021-01-19,1006
2021-01-20,1019
2021-01-21,1032
2021-01-22,1044
2021-01-23,1052
2021-01-24,1066
2021-01-25,1072
2021-01-26,1078
2021-01-27,1086
2021-01-28,1098
2021-01-29,1113
2021-01-30,1122
2021-01-31,1133
2021-02-01,1160
2021-02-02,1168
2021-02-03,1186
2021-02-04,1206
2021-02-05,1254
2021-02-06,1305
2021-02-07,1331
2021-02-08,1348
2021-02-09,1355
2021-02-10,1362
2021-02-11,1368
2021-02-12,1385
2021-02-13,1392
2021-02-14,1396
2021-02-15,1400
2021-02-16,1404
2021-02-17,1431
2021-02-18,1452
2021-02-19,1476
2021-02-20,1484
2021-02-21,1491
2021-02-22,1497
2021-02-23,1502
2021-02-24,1509
2021-02-25,1516
2021-02-26,1519
2021-02-27,1526
2021-02-28,1532
2021-03-01,1534
2021-03-02,1539
2021-03-03,1544
2021-03-04,1549
2021-03-05,1551
2021-03-06,1560
2021-03-07,1564
2021-03-08,1565
2021-03-09,1566
2021-03-10,1568
2021-03-11,1569
2021-03-12,1572
2021-03-13,1571
2021-03-14,1575
2021-03-15,1576
2021-03-16,1578
2021-03-17,1582
2021-03-18,1583
2021-03-19,1588
2021-03-20,1589
2021-03-21,1591
2021-03-22,1594
2021-03-23,1597
2021-03-24,1603
2021-03-25,1607
2021-03-26,1612
2021-03-27,1614
2021-03-28,1616
2021-03-29,1618
2021-03-30,1623
2021-03-31,1624
2021-04-01,1629
2021-04-02,1634
2021-04-03,1636
2021-04-04,1635
2021-04-05,1640
2021-04-06,1640
2021-04-07,1642
2021-04-08,1641
2021-04-09,1633
2021-04-10,1636
2021-04-11,1637
2021-04-12,1641
2021-04-13,1643
2021-04-14,1644
2021-04-15,1644
2021-04-16,1645
2021-04-17,1644
2021-04-18,1644
2021-04-19,1645
2021-04-20,1647
2021-04-21,1649
2021-04-22,1653
2021-04-23,1653
2021-04-24,1655
2021-04-25,1655
2021-04-26,1657
2021-04-27,1657
2021-04-28,1660
2021-04-29,1660
2021-04-30,1662
2021-05-01,1664
2021-05-02,1666
2021-05-03,1667
2021-05-04,1669
2021-05-05,1669
2021-05-06,1670
2021-05-07,1671
2021-05-08,1673
2021-05-09,1673
2021-05-10,1674
2021-05-11,1677
2021-05-12,1679
2021-05-13,1680
2021-05-14,1681
2021-05-15,1681
2021-05-16,1683
2021-05-17,1683
2021-05-18,1679
2021-05-19,1678
2021-05-20,1679
2021-05-21,1680
2021-05-22,1680
2021-05-23,1680
2021-05-24,1680
2021-05-25,1681
2021-05-26,1682
2021-05-27,1682
2021-05-28,1685
2021-05-29,1685
2021-05-30,1687
2021-05-31,1687
2021-06-01,1690
2021-06-02,1690
2021-06-03,1691
2021-06-04,1691
2021-06-05,1692
2021-06-06,1692
2021-06-07,1692
2021-06-08,1694
2021-06-09,1695
2021-06-10,1697
2021-06-11,1697
2021-06-12,1697
2021-06-13,1697
2021-06-14,1700
2021-06-15,1704
2021-06-16,1709
2021-06-17,1713
2021-06-18,1715
2021-06-19,1718
2021-06-20,1722
2021-06-21,1722
2021-06-22,1730
2021-06-23,1737
2021-06-24,1746
2021-06-25,1754
2021-06-26,1761
2021-06-27,1765
2021-06-28,1775
2021-06-29,1780
2021-06-30,1798
2021-07-01,1806
2021-07-02,1822
2021-07-03,1831
2021-07-04,1851
2021-07-05,1857
2021-07-06,1865
2021-07-07,1871
2021-07-08,1875
2021-07-09,1882
2021-07-10,1901
2021-07-11,1914
2021-07-12,1920
2021-07-13,1926
2021-07-14,1943
2021-07-15,1964
2021-07-16,1984
2021-07-17,2003
2021-07-18,2026
2021-07-19,2042
2021-07-20,2066
2021-07-21,2089
2021-07-22,2109
2021-07-23,2116
2021-07-24,2131
2021-07-25,2145
2021-07-26,2162
2021-07-27,2174
2021-07-28,2190
2021-07-29,2210
2021-07-30,2227
2021-07-31,2252
2021-08-01,2270
2021-08-02,2282
2021-08-03,2292
2021-08-04,2312
2021-08-05,2329
2021-08-06,2339
2021-08-07,2353
2021-08-08,2367
2021-08-09,2377
2021-08-10,2386
2021-08-11,2406
2021-08-12,2412
2021-08-13,2426
